Saison;DateMatch;Journee;adversaire;lieu;joueur;Titulaire;Minutes;Buts;CartonJaune;CartonRouge
2021/22;2021-10-17;Deuxième tour;Herats of Oak;Extérieur;Y. Jabrane;Tit.;90;;;
2021/22;2021-10-17;Deuxième tour;Herats of Oak;Extérieur;Z. El-Moutaraji;Tit.;75;;;
2021/22;2021-10-17;Deuxième tour;Herats of Oak;Extérieur;A. Skouma;Remp.;6;;;
2021/22;2021-10-17;Deuxième tour;Herats of Oak;Extérieur;B. Aouk;Remp.;6;;;
2021/22;2021-10-17;Deuxième tour;Herats of Oak;Extérieur;M. Chrachem;Remp.;15;;;
2021/22;2021-10-24;Deuxième tour;Herats of Oak;Domicile;C.I. Comara;Tit.;90;;;
2021/22;2021-10-24;Deuxième tour;Herats of Oak;Domicile;M. Ellafi;Tit.;53;;;
2021/22;2021-10-24;Deuxième tour;Herats of Oak;Domicile;B. Gadarine;Remp.;37;;;
2021/22;2021-10-24;Deuxième tour;Herats of Oak;Domicile;A. El Amloud;Tit.;64;;;
2021/22;2021-10-24;Deuxième tour;Herats of Oak;Domicile;H. Ait Allal;Remp.;26;;;
2021/22;2021-10-24;Deuxième tour;Herats of Oak;Domicile;M. Chrachem;Tit.;53;;;
2021/22;2021-10-24;Deuxième tour;Herats of Oak;Domicile;A. Haimoud;Remp.;37;;;
2021/22;2021-10-24;Deuxième tour;Herats of Oak;Domicile;A. Dari;Tit.;90;1;;
2021/22;2021-10-24;Deuxième tour;Herats of Oak;Domicile;A. R. Tagnaouti;Tit.;90;;;
2021/22;2021-10-24;Deuxième tour;Herats of Oak;Domicile;Y. Jabrane;Tit.;90;1;;
2021/22;2021-10-24;Deuxième tour;Herats of Oak;Domicile;A. Serrhat;Tit.;90;1;;
2021/22;2021-10-24;Deuxième tour;Herats of Oak;Domicile;A. El Hassouni;Tit.;64;1;;
2021/22;2021-10-24;Deuxième tour;Herats of Oak;Domicile;B. Aouk;Remp.;26;;;
2021/22;2021-10-24;Deuxième tour;Herats of Oak;Domicile;Y. Attiatallah;Tit.;53;;;
2021/22;2021-10-24;Deuxième tour;Herats of Oak;Domicile;M. El Ourdi;Remp.;37;;;
2021/22;2021-10-24;Deuxième tour;Herats of Oak;Domicile;S. Msuva;Tit.;90;2;;
2021/22;2022-02-11;Phase de poules;Sagrada Esperan�a;Domicile;A. R. Tagnaouti;Tit.;90;;;
2021/22;2022-02-11;Phase de poules;Sagrada Esperan�a;Domicile;J. Daoudi;Tit.;90;;;
2021/22;2022-02-11;Phase de poules;Sagrada Esperan�a;Domicile;A. Dari;Tit.;90;1;;
2021/22;2022-02-11;Phase de poules;Sagrada Esperan�a;Domicile;C.I. Comara;Tit.;90;;;
2021/22;2022-02-11;Phase de poules;Sagrada Esperan�a;Domicile;Y. Attiatallah;Tit.;90;;;
