Saison;DateMatch;Journee;Equipe;Competition;Lieu;Score
1965-66;;;Maghreb Association Sportive;Championnat;Domicile;0-0
1965-66;;;Fath Union Sport;Championnat;Domicile;2-1
1965-66;;;Club Omnisport de Meknes;Championnat;Domicile;5-2
1965-66;;;Maghreb Athletic Tetouan;Championnat;Domicile;0-1
1965-66;;;Raja Club Athletic;Championnat;Exterieur;0-0
1965-66;;;Renaissance Sportive de Settat;Championnat;Exterieur;1-0
1965-66;;;Sporting Club Chabab de Mohammedia;Championnat;Exterieur;0-1
1965-66;;;Kawkab Athletic Club de Marrakech;Championnat;Exterieur;0-1
1965-66;;;Tihad Athletic Sport;Championnat;Exterieur;0-2
1965-66;;;Hassania Union Sport Agadir;Championnat;Exterieur;2-2
1965-66;;;Stade Marocain;Championnat;Exterieur;0-0
1965-66;;;Mouloudia Club Oujda;Championnat;Exterieur;1-2
1965-66;;;Racing Athletic Club;Championnat;Exterieur;2-0
1965-66;;;Maghreb Association Sportive;Championnat;Exterieur;0-2
1965-66;;;Fath Union Sport;Championnat;Exterieur;1-1
1965-66;;;Club Omnisport de Meknes;Championnat;Exterieur;1-1
1965-66;;;Maghreb Athletic Tetouan;Championnat;Exterieur;2-0
1966-67;;;AS Forces Armees Royales;Championnat;Exterieur;1-1
1966-67;;;Renaissance Sportive de Settat;Championnat;Exterieur;1-3
1966-67;;;Raja Club Athletic;Championnat;Exterieur;0-0
1966-67;;;AS Forces Armees Royales;Championnat;Domicile;0-0
1966-67;;;Renaissance Sportive de Settat;Championnat;Domicile;1-0
1966-67;;;Raja Club Athletic;Championnat;Domicile;0-0
1966-67;;;Stade Marocain;Championnat;Domicile;4-0
1966-67;;;Difaa Hassani Jadidi;Championnat;Domicile;4-1
1966-67;;;Tihad Athletic Sport;Championnat;Domicile;1-1
1966-67;;;Mouloudia Club Oujda;Championnat;Domicile;1-1
1966-67;;;Sporting Club Chabab de Mohammedia;Championnat;Domicile;1-0
1966-67;;;Maghreb Association Sportive;Championnat;Domicile;5-0
1966-67;;;Kenitra Athletic Club;Championnat;Domicile;0-0
1966-67;;;Fath Union Sport;Championnat;Domicile;0-0
1966-67;;;Kawkab Athletic Club de Marrakech;Championnat;Domicile;1-1
1966-67;;;Racing Athletic Club;Championnat;Domicile;1-1
1966-67;;;Raja Beni Mellal;Championnat;Domicile;1-0
1966-67;;;Hassania Union Sport Agadir;Championnat;Domicile;3-0
1966-67;;;Stade Marocain;Championnat;Exterieur;0-0
1966-67;;;Difaa Hassani Jadidi;Championnat;Exterieur;1-2
1966-67;;;Tihad Athletic Sport;Championnat;Exterieur;0-1
1966-67;;;Mouloudia Club Oujda;Championnat;Exterieur;1-0
1966-67;;;Sporting Club Chabab de Mohammedia;Championnat;Exterieur;1-1
1966-67;;;Maghreb Association Sportive;Championnat;Exterieur;0-0
1966-67;;;Kenitra Athletic Club;Championnat;Exterieur;1-1
1966-67;;;Fath Union Sport;Championnat;Exterieur;0-2
1966-67;;;Kawkab Athletic Club de Marrakech;Championnat;Exterieur;0-2
1966-67;;;Racing Athletic Club;Championnat;Exterieur;3-2
1966-67;;;Raja Beni Mellal;Championnat;Exterieur;1-1
1966-67;;;Hassania Union Sport Agadir;Championnat;Exterieur;2-2
1967-68;;;AS Forces Armees Royales;Championnat;Exterieur;0-1
1967-68;;;Renaissance Sportive de Settat;Championnat;Exterieur;0-1
1967-68;;;Raja Club Athletic;Championnat;Exterieur;0-0
1967-68;;;Union Sidi Kacem;Championnat;Exterieur;1-1
1967-68;;;Sporting Club Chabab de Mohammedia;Championnat;Exterieur;0-1
1967-68;;;Mouloudia Club Oujda;Championnat;Exterieur;1-1
1967-68;;;Kenitra Athletic Club;Championnat;Exterieur;1-2
1967-68;;;AS Forces Armees Royales;Championnat;Domicile;0-0
1967-68;;;Renaissance Sportive de Settat;Championnat;Domicile;1-0
1967-68;;;Raja Club Athletic;Championnat;Domicile;1-3
1967-68;;;Union Sidi Kacem;Championnat;Domicile;1-0
1967-68;;;Sporting Club Chabab de Mohammedia;Championnat;Domicile;3-2
1967-68;;;Mouloudia Club Oujda;Championnat;Domicile;2-0
1967-68;;;Kenitra Athletic Club;Championnat;Domicile;0-1
1967-68;;;Difaa Hassani Jadidi;Championnat;Domicile;2-3
1967-68;;;Maghreb Association Sportive;Championnat;Domicile;0-0
1967-68;;;Stade Marocain;Championnat;Domicile;1-1
1967-68;;;Association des Douanes Marocaines;Championnat;Domicile;0-0
